Country,Date,Value,School_closures,Workplace_Closures,Cancel_public_events,Restrictions_on_gatherings,Close_public_transport,Stay_at_home_requirements,Restrictions_on_internal_movement,International_travel_controls,Income_support,Debt/contract_relief,Fiscal_measures,International_support,Public_information_campaigns,Testing_policy,Contact_tracing,Emergency_investment_in_health_care,Investment_in_Vaccines,Stringency_Index
Luxembourg,2020-07,7.3,0.0,0.4838709677419355,0.4838709677419355,1.3870967741935485,0.0,0.4838709677419355,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,21.23290322580646
Latvia,2020-01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0967741935483871,0.0,0.0,0.0,0.08967741935483871
Latvia,2020-02,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.354137931034483
Latvia,2020-03,7.2,1.2258064516129032,0.8709677419354839,1.2258064516129032,1.8064516129032258,0.16129032258064516,0.6129032258064516,0.0,2.967741935483871,1.1612903225806452,0.8387096774193549,72293361.99774192,0.0,1.6129032258064515,1.0,0.45161290322580644,61011.354838709674,0.0,39.06741935483871
Latvia,2020-04,8.2,2.0,2.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,19097083.333333332,0.0,2.0,1.0,1.0,268040.63333333336,0.0,65.74
Latvia,2020-05,8.7,2.0,2.0,1.3548387096774193,3.0,1.0,1.0,0.0,3.4516129032258065,0.9032258064516129,2.0,0.0,0.0,2.0,1.0,1.1612903225806452,0.0,0.0,60.63483870967746
Latvia,2020-06,8.9,2.0,2.0,1.0,2.3,0.3,1.0,0.0,2.3,0.0,2.0,0.0,0.0,2.0,2.4,2.0,0.0,0.0,49.63299999999996
Latvia,2020-07,9.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,46.299999999999976
Mexico,2020-01,3.6281199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,2020-02,3.6099349999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.19172413793103446
